pl_name,mass,radius,orbital_period,tsm,observation_type,reference,molecules
2M 0103-55 (AB) b,13.0,9.7604677202041,,,"""G-B: High resolution visible""",2212.03207,"""{""H"":""Detection""}"""
2M0437 b,4.0,4.8793589717681,,1668.9209,"""G-B: High resolution IR""",2308.13745,"""{""CO"":""Detection"" ""CH4"":""Detection"" ""H2O"":""Detection""}"""
51 Eri b,2.6,1.11,10260.0,,"""G-B: High resolution IR""",2211.14330,"""{""Molecular ratios: C/O etc..."":""Detection""}"""
51 Peg b,0.47,1.9,4.2308,7479.0375,"""G-B: High resolution visible""","""2015A&A...576A.134M""","""[]"""
51 Peg b,0.47,1.9,4.2308,7479.0375,"""G-B: High resolution IR""",1302.6242,"""{""CO"":""Detection"" ""H2O"":""Detection""}"""
51 Peg b,0.47,1.9,4.2308,7479.0375,"""G-B: High resolution IR""","""2017AJ....153..138B""","""{""H2O"":""Detection""}"""
51 Peg b,0.47,1.9,4.2308,7479.0375,"""G-B: High resolution IR""","""2019A&A...631A.100C""","""{""CO"":""Detection"" ""H2O"":""Detection""}"""
51 Peg b,0.47,1.9,4.2308,7479.0375,"""Spitzer""","""2007MNRAS.379..641C""","""[]"""
55 Cnc b,0.84,1.9483556604302,14.65314,3820.3183,"""HST STIS""",1210.0531,"""{""H"":""Detection""}"""
55 Cnc e,0.02703,0.1737,0.7365478,249.7917,"""JWST-MIRI""",2405.04744,"""{""Molecular ratios: C\/O etc..."":""Detection""}"""
55 Cnc e,0.02703,0.1737,0.7365478,249.7917,"""HST WFC3""","""2016ApJ...820...99T""","""{""H"":""Theoretical prediction"" ""He"":""Theoretical prediction"" ""HCN"":""Theoretical prediction""}"""
55 Cnc e,0.02703,0.1737,0.7365478,249.7917,"""Spitzer""","""2016Natur.532..207D""","""[]"""
55 Cnc e,0.02703,0.1737,0.7365478,249.7917,"""G-B: High resolution IR""",2406.09225,"""{""He"":""Upper limit""}"""
55 Cnc e,0.02703,0.1737,0.7365478,249.7917,"""G-B: High resolution visible""",2203.16856,"""{""Fe"":""Upper limit"" ""Fe+"":""Upper limit"" ""K"":""Upper limit"" ""Mg"":""Upper limit"" ""Ca"":""Upper limit"" ""Ca+"":""Upper limit""}"""
55 Cnc e,0.02703,0.1737,0.7365478,249.7917,"""CHEOPS""",2307.06085,"""[]"""
55 Cnc e,0.02703,0.1737,0.7365478,249.7917,"""JWST-NIRCam""",2407.12898,"""[]"""
55 Cnc e,0.02703,0.1737,0.7365478,249.7917,"""G-B: High resolution visible""",2308.10378,"""{""Fe"":""Upper limit""}"""
55 Cnc e,0.02703,0.1737,0.7365478,249.7917,"""G-B: High resolution IR""",2012.02198,"""{""He"":""No detection""}"""
55 Cnc e,0.02703,0.1737,0.7365478,249.7917,"""G-B: High resolution visible""","""2020MNRAS.498.4222T""","""{""Na"":""Upper limit"" ""H"":""Upper limit""}"""
55 Cnc e,0.02703,0.1737,0.7365478,249.7917,"""Spitzer""",2209.02090,"""[]"""
AU Mic b,0.0368,0.3908,8.463,711.1251,"""G-B: High resolution visible""","""2020A&A...643A..25P""","""{""H"":""No detection""}"""
AU Mic b,0.0368,0.3908,8.463,711.1251,"""G-B: High resolution IR""",2006.13243,"""{""He"":""Upper limit""}"""
AU Mic b,0.0368,0.3908,8.463,711.1251,"""HST-COS""","""2024RNAAS...8...86F""","""{""C+"":""Upper limit"" ""Si+"":""Upper limit""}"""
AU Mic b,0.0368,0.3908,8.463,711.1251,"""G-B: High resolution IR""",2406.09225,"""{""He"":""Upper limit""}"""
AU Mic b,0.0368,0.3908,8.463,711.1251,"""G-B: High resolution IR""",2307.05580,"""{""He"":""Upper limit""}"""
AU Mic b,0.0368,0.3908,8.463,711.1251,"""HST STIS""",2307.15024,"""{""H"":""Upper limit""}"""
beta Pic b,11.9,1.65,7707.0,,"""G-B: High resolution IR""",2405.08867,"""{""H2O"":""Detection"" ""CO"":""Detection""}"""
beta Pic b,11.9,1.65,7707.0,,"""G-B: High resolution IR""",2311.13527,"""{""CO"":""Detection"" ""H2O"":""Detection"" ""Molecular ratios: C/O etc..."":""Detection""}"""
CI Tau b,11.6,9.1277049326556,8.9891,,"""G-B: High resolution IR""","""2019ApJ...878L..37F""","""{""CO"":""Detection""}"""
CoRoT-1 b,1.03,1.49,1.50896848,80.9412,"""G-B: Low resolution visible""",2305.19441,"""{""Rayleigh Scattering"":""Detection""}"""
CoRoT-1 b,1.03,1.49,1.50896848,80.9412,"""HST WFC3""",2206.03517,"""{""Featureless spectra"":""Detection""}"""
CoRoT-1 b,1.03,1.49,1.50896848,80.9412,"""HST WFC3""",2204.11729,"""{""H2O"":""Detection"" ""VO"":""Detection"" ""H-"":""Detection""}"""
CoRoT-2 b,3.31,1.465,1.7429964,63.0374,"""Spitzer""",2408.13308,"""[]"""
CoRoT-2 b,3.31,1.465,1.7429964,63.0374,"""Spitzer""","""2010A&A...511A...3G""","""[]"""
CoRoT-2 b,3.31,1.465,1.7429964,63.0374,"""Spitzer""","""2011ApJ...726...95D""","""[]"""
DS Tuc A b,0.0453,0.5085,8.138268,620.8099,"""G-B: High resolution visible""",2103.12922,"""{""H"":""No detection""}"""
GJ 1132 b,0.00522,0.1035,1.628931,34.1894,"""HST WFC3""","""2021AJ....161..213S""","""{""HCN"":""Detection"" ""CH4"":""Upper limit""}"""
GJ 1132 b,0.00522,0.1035,1.628931,34.1894,"""HST WFC3""",2104.01873,"""{""HCN"":""No detection""}"""
GJ 1132 b,0.00522,0.1035,1.628931,34.1894,"""G-B: Low resolution visible""","""2018AJ....156...42D""","""[]"""
GJ 1132 b,0.00522,0.1035,1.628931,34.1894,"""JWST-MIRI""",2408.13340,"""[]"""
GJ 1132 b,0.00522,0.1035,1.628931,34.1894,"""JWST-NIRSpec""",2310.10711,"""{""HCN"":""No detection""}"""
GJ 1214 b,0.02571,0.24463,1.580404497,454.6074,"""G-B:Low resolution IR""","""2020AJ....160..258K""","""{""He"":""No detection""}"""
GJ 1214 b,0.02571,0.24463,1.580404497,454.6074,"""G-B:Low resolution IR""","""2020RNAAS...4..231P""","""{""He"":""Upper limit""}"""
GJ 1214 b,0.02571,0.24463,1.580404497,454.6074,"""G-B:Low resolution IR""","""2019RNAAS...3...24C""","""{""He"":""Upper limit""}"""
GJ 1214 b,0.02571,0.24463,1.580404497,454.6074,"""G-B: Low resolution visible""","""2012A&A...544A..41M""","""{""H"":""Upper limit""}"""
GJ 1214 b,0.02571,0.24463,1.580404497,454.6074,"""G-B: High resolution IR""",2201.11120,"""{""He"":""Detection""}"""
GJ 1214 b,0.02571,0.24463,1.580404497,454.6074,"""JWST-MIRI""",2305.06240,"""{""Featureless spectra"":""Detection""}"""
GJ 1214 b,0.02571,0.24463,1.580404497,454.6074,"""HST WFC3""","""2012ApJ...747...35B""","""{""Featureless spectra"":""Detection""}"""
GJ 1214 b,0.02571,0.24463,1.580404497,454.6074,"""G-B: High resolution IR""",2406.09225,"""{""He"":""Upper limit""}"""
GJ 1214 b,0.02571,0.24463,1.580404497,454.6074,"""G-B: High resolution IR""",2307.05580,"""{""He"":""Upper limit""}"""
GJ 1214 b,0.02571,0.24463,1.580404497,454.6074,"""G-B: High resolution IR""",2209.03502,"""{""He"":""Upper limit""}"""
